Date,Open,High,Low,Close,Adj Close,Volume
2014-10-22,91.440002,91.440002,89.709999,89.769997,85.491928,4290300
2014-10-23,90.940002,91.279999,90.419998,90.660004,86.339531,3159200
2014-10-24,90.660004,91.699997,90.589996,91.639999,87.27282,2977300
2014-10-27,91.43,92.279999,91.379997,92.129997,87.739456,3948900
2014-10-28,91.050003,92.779999,90.360001,92.639999,88.225174,4741300
2014-10-29,92.900002,93.68,92.690002,92.959999,88.529907,4330400
2014-10-30,92.559998,94.150002,92.5,93.879997,89.406067,2836400
2014-10-31,95.0,95.669998,94.309998,95.010002,90.482224,5031500
2014-11-03,95.449997,95.669998,94.5,94.860001,90.339371,4001200
2014-11-04,94.989998,95.599998,94.239998,94.980003,90.453659,4437300
2014-11-05,95.57,96.010002,95.019997,95.800003,91.234573,3454700
2014-11-06,96.040001,96.639999,95.900002,96.209999,91.625031,3743200
2014-11-07,95.5,95.720001,93.010002,93.610001,89.148949,6155400
2014-11-10,93.68,95.0,93.5,94.75,90.234619,4087700
2014-11-11,95.050003,95.75,94.720001,95.690002,91.129822,2291400
2014-11-12,95.230003,95.970001,94.519997,95.68,91.120285,2897700
2014-11-13,95.639999,96.739998,95.400002,95.900002,91.329811,2767700
2014-11-14,96.019997,96.120003,94.870003,95.110001,90.577454,2709600
2014-11-17,95.199997,96.690002,94.839996,96.470001,91.872643,3297600
2014-11-18,96.989998,98.610001,96.849998,98.190002,93.510674,4320800
2014-11-19,97.730003,98.410004,96.790001,96.860001,92.244064,3433800
2014-11-20,96.459999,96.849998,96.169998,96.849998,92.234543,3316700
2014-11-21,97.400002,98.040001,96.589996,96.709999,92.101204,4408600
2014-11-24,97.269997,97.290001,96.510002,96.900002,92.28215,3998800
2014-11-25,97.0,98.139999,96.910004,97.900002,93.234497,4066300
2014-11-26,97.989998,98.739998,97.82,98.110001,93.434494,2765900
2014-11-28,98.699997,99.419998,98.43,98.629997,93.929703,2177500
2014-12-01,98.75,99.830002,98.010002,99.059998,94.339218,4892800
2014-12-02,99.0,100.0,98.199997,99.830002,95.072517,5297200
2014-12-03,99.879997,101.330002,99.699997,100.800003,96.358246,6689000
2014-12-04,100.839996,100.93,99.419998,99.669998,95.278046,4065200
2014-12-05,99.809998,100.709999,99.68,100.330002,95.908981,3104900
2014-12-08,100.32,100.900002,99.639999,99.919998,95.517036,3085800
2014-12-09,99.040001,101.089996,98.75,101.019997,96.568558,3792200
2014-12-10,100.769997,101.019997,99.010002,99.089996,94.723595,3908700
2014-12-11,99.389999,100.669998,99.239998,99.730003,95.335411,2940600
2014-12-12,99.580002,100.410004,98.690002,98.760002,94.408142,3086500
2014-12-15,98.800003,99.75,97.410004,98.269997,93.939735,3649300
2014-12-16,97.650002,98.779999,95.75,95.849998,91.626373,4843800
2014-12-17,96.550003,99.75,96.169998,99.139999,94.7714,6235000
2014-12-18,100.279999,102.260002,99.910004,102.239998,97.734802,4681000
2014-12-19,102.0,104.0,102.0,102.489998,97.973785,7986500
2014-12-22,102.580002,103.239998,102.470001,103.040001,98.49955,2398100
2014-12-23,103.720001,103.93,102.440002,102.849998,98.317932,3028600
2014-12-24,103.0,103.32,102.540001,102.68,98.155411,950700
2014-12-26,102.589996,103.0,102.160004,102.550003,98.031136,2019900
2014-12-29,102.379997,103.010002,101.830002,102.330002,97.820831,1708100
2014-12-30,102.25,103.059998,102.25,102.849998,98.317932,1767600
2014-12-31,103.120003,103.68,101.029999,101.089996,96.635468,2313900
2015-01-02,101.5,102.620003,100.010002,100.779999,96.339134,3060900
2015-01-05,100.300003,100.449997,98.75,99.120003,94.752289,4679000
2015-01-06,99.830002,100.139999,98.459999,98.919998,94.561096,3468300
2015-01-07,98.959999,100.300003,98.919998,99.93,95.526596,3225800
2015-01-08,101.57,104.980003,100.720001,104.699997,100.086395,5346100
2015-01-09,104.419998,104.629997,102.900002,103.720001,99.149582,3371800
2015-01-12,103.830002,104.0,101.910004,102.550003,98.031136,3051500
2015-01-13,103.940002,105.599998,101.839996,103.07,98.528214,3856500
2015-01-14,101.610001,103.480003,101.18,103.330002,98.776772,4725600
2015-01-15,103.559998,104.589996,103.129997,104.459999,99.856964,5888900
2015-01-16,104.5,106.0,103.650002,105.769997,101.109245,6045500
2015-01-20,106.199997,106.379997,104.5,105.620003,100.965874,6508100
2015-01-21,106.519997,109.449997,105.620003,109.32,104.502808,8293700
2015-01-22,109.75,114.120003,109.330002,113.849998,108.833206,8055200
2015-01-23,113.639999,114.32,112.0,112.0,107.064728,5219300
2015-01-26,112.0,112.0,110.760002,111.610001,106.691902,4203400
2015-01-27,110.949997,111.25,109.919998,110.010002,105.16243,4718300
2015-01-28,110.57,110.879997,108.449997,108.459999,103.68071,6633500
2015-01-29,108.150002,109.580002,106.739998,109.389999,104.569733,4912300
2015-01-30,108.620003,109.389999,106.139999,106.25,101.568108,5397500
2015-02-02,106.730003,107.339996,105.07,107.290001,102.562279,4657100
2015-02-03,107.349998,108.0,106.519997,107.809998,103.059349,4184500
2015-02-04,106.830002,108.739998,106.75,107.919998,103.164497,4768900
2015-02-05,108.32,109.809998,108.32,108.82,104.024857,3297700
2015-02-06,108.589996,109.400002,107.190002,107.599998,102.858612,3610200
2015-02-09,106.93,107.239998,106.279999,106.489998,101.797508,3909700
2015-02-10,107.260002,109.459999,107.129997,108.970001,104.168243,5437400
2015-02-11,108.730003,110.059998,108.379997,109.849998,105.009483,3798500
2015-02-12,110.699997,110.779999,108.830002,109.839996,104.999908,3378000
2015-02-13,109.690002,109.839996,108.68,109.440002,104.617538,3727600
2015-02-17,109.339996,109.760002,108.519997,109.760002,104.923439,3430600
2015-02-18,109.760002,110.220001,108.949997,109.769997,104.932983,2953600
2015-02-19,109.540001,110.360001,109.440002,110.029999,105.181526,2674800
2015-02-20,109.959999,112.82,109.440002,112.620003,107.657417,4647100
2015-02-23,112.989998,116.489998,112.849998,116.400002,111.270844,7060000
2015-02-24,116.260002,116.580002,115.32,115.43,110.343582,3565600
2015-02-25,115.82,115.82,113.720001,114.050003,109.024391,3845900
2015-02-26,114.410004,114.620003,113.370003,113.660004,108.651573,3126800
2015-02-27,113.769997,114.25,113.410004,113.629997,108.622902,4016400
2015-03-02,113.629997,114.849998,113.629997,114.400002,109.358978,2952200
2015-03-03,113.949997,114.489998,112.360001,112.860001,107.886826,3163700
2015-03-04,112.25,113.970001,111.650002,113.82,108.804527,3167100
2015-03-05,114.07,115.720001,114.07,114.790001,109.731781,2941400
2015-03-06,115.160004,115.160004,112.610001,112.879997,107.905945,3196900
2015-03-09,112.970001,114.959999,112.870003,114.900002,109.836945,3942000
2015-03-10,114.260002,114.410004,112.459999,112.459999,107.504448,3951600
2015-03-11,112.900002,113.589996,112.639999,112.720001,108.113495,2593700
2015-03-12,113.32,115.050003,113.150002,114.879997,110.185242,3258600
2015-03-13,114.440002,115.389999,113.529999,115.25,110.540115,3066800
2015-03-16,116.0,118.690002,115.82,118.519997,113.676483,4692200
2015-03-17,118.080002,118.129997,116.919998,117.599998,112.79406,3266900
2015-03-18,117.43,120.519997,116.730003,119.959999,115.057625,5506700
2015-03-19,120.0,121.099998,119.82,120.760002,115.824936,4032500
2015-03-20,121.349998,121.529999,119.0,119.139999,114.271149,7195700
2015-03-23,119.480003,120.480003,118.589996,119.040001,114.175232,4570600
2015-03-24,118.900002,119.639999,118.080002,118.120003,113.292839,3054700
2015-03-25,118.849998,119.75,116.510002,116.540001,111.777405,3385500
2015-03-26,116.07,117.209999,114.599998,116.25,111.499252,2856400
2015-03-27,116.059998,118.220001,116.019997,118.010002,113.187325,2556200
2015-03-30,122.32,123.760002,120.529999,121.0,116.05513,5178500
2015-03-31,120.800003,120.93,118.220001,118.290001,113.455879,4573100
2015-04-01,119.519997,119.519997,116.540001,117.449997,112.650185,4811200
2015-04-02,117.599998,118.379997,116.870003,117.360001,112.563889,2497100
2015-04-06,116.019997,118.519997,115.949997,117.699997,112.889992,2544700
2015-04-07,119.449997,119.830002,117.269997,117.349998,112.554276,2528500
2015-04-08,117.779999,118.830002,117.470001,118.190002,113.359978,2627000
2015-04-09,117.830002,118.760002,117.599998,118.550003,113.705254,2247200
2015-04-10,118.550003,119.099998,117.970001,119.0,114.136856,2232600
2015-04-13,121.0,121.309998,119.129997,119.370003,114.491737,3961000
2015-04-14,119.339996,120.18,118.519997,119.919998,115.019264,3201800
2015-04-15,120.379997,120.739998,116.550003,117.32,112.52552,7344000
2015-04-16,121.93,122.32,120.519997,121.599998,116.630623,7068000
2015-04-17,121.0,121.050003,117.739998,118.709999,113.858711,4390000
2015-04-20,119.849998,120.330002,118.07,118.580002,113.734016,4650700
